list,title,price,link
,45W PD Super Fast Wall Charger USB-C Type C Cable For Samsung Galaxy S23 S22 S21,$1.85,https://www.ebay.com/itm/135606436465?itmmeta=01KPD285RGNMAPQAYM86A7FX71&hash=item1f92c60271:g:ojwAAOSwbhNl8CTG&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4Luq6qCzCT09RCxF4OMcc8vz4ipxL%2FA8jZvMLCd996GkRjnPIkf9YUtqyuoIUmGSoKQT6Wp1zhSRl1jq5wPnXSHDFhLrPz94NGusxKB1NAEpYQRUDs%2BdQk6RneBQVSZHNLbGFMdcLJZBW6BC4BFhy%2FCNXtb2VtgswycpSXoy1mk6oftoDGGtrtGA5knkg8eab3b7YtdmO%2BFRU9iXPz0jKsf8Ta7lXjB3UV8Ox9ux8%2FgY4pQ%3D%3D%7Ctkp%3ABk9SR7TcoKKzZw
,Apple iPhone 16E - 128GB - Fully Unlocked - VERY GOOD Condition,$388.80,https://www.ebay.com/p/6075293020?iid=226927446509&var=526080720102
,Samsung Galaxy S23 128GB S911U Unlocked - Excellent,$237.99,https://www.ebay.com/p/5065009608?iid=256372271129&var=556453888063
,"Google Pixel 9 Pro 256GB 6.3"" 5G Fully Unlocked - Excellent - LCD Shadow",$384.99,https://www.ebay.com/p/9072660247?iid=406685045390&var=676927044605
,Samsung Galaxy S22 5G SM-S901U1 128GB 256GB Unlocked Very Good,$156.99,https://www.ebay.com/p/3072579174?iid=186372216016&var=694422418597
,Apple iPhone 11 Pro Max 64/256/512GB Unlocked - All colors - Used Excellent,$244.99 to $294.99,https://www.ebay.com/itm/235791482034?itmmeta=01KPD285RG5S67DTK6DEWMNYC4&hash=item36e6447cb2:g:ufUAAOSwff1kQwEh&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LurTn%2Brn6S1CQhGpcUHXSg7Rw7Px2NXycGtfJqf3CfHyyn9h1fISesDzDdfwXcrAHQS1BRC378UZeCpXAe2t1P28qtoGiiWdCs2Azy85nxtFkTdxEzJoZhecAKKu5JbvaPsF6jImRPqzlmQG6GjM2fQbbSav%2BEkDGR%2B6s%2FWtbS%2BR%2FYHJv9rn1D%2BRGccssvikbzqNaU2cSL1F%2FCQ6MUkeI36NYhChqa0oC9kMeN3cPEwcFrF2ffHC%2BoWQiE3M1nakdbiQaLz3KMRiVQuR2G9VV%2FJ6%7Ctkp%3ABFBMttygorNn&var=536172983727
,"Apple iPhone 12 Mini, 64/128/256GB - Unlocked- Refurbished Excellent",$189.99 to $214.99,https://www.ebay.com/itm/236252696651?epid=13041717211&itmmeta=01KPD285RGJ7REMJB5813BFSP6&hash=item3701c2104b:g:t6IAAOSwLsdkCgAA&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuoUPIWpqL7186fUlDPKaZr%2BxTvWMT13diIypr56NHinKj4KyKdPuUMy5E9r3WmQh6DOS3ZgTcg1%2B0Wfy4IqivrqoCjdVMbQKnW65ewEFIlcc9er%2FODKC0Kbq4h4J8lo01KSuBfTNRQHKiIcf%2Br8TxgBc3j%2BNnCQ53kloAZBwVRWTwRtV%2FIeYABbsqs17TIzQAMLnrtXNkmJZM7Hpe3ImDyBAXKhrKqAM%2FBDiycGZMSVdc5WPEhbbJ1Fp2Kt6q%2B3WC%2BzcNU%2FmD6BuGbiq2zuwEHi%7Ctkp%3ABFBMttygorNn&var=536813094600
,Apple iPhone 16 128GB Unlocked Smartphone A3081 Good Condition,$495.00,https://www.ebay.com/itm/227050861810?epid=20071682141&itmmeta=01KPD285RGVEQMDBB7PSBZPV35&hash=item34dd4934f2:g:RjAAAeSwciNozaQf&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LurdKHRdAcriOhuVyP3jaSyu2wOXMgYASYmGRh1ioOTKihHX5FmzJjOXhC9XQ6LoQHQY19Qs8mD6rSWAv5c7ov9De8EfXNZXvFq0K7dDP7mJ5ai0X%2BOMoAPZwknlxnSFD1zc6uDh46T1qoSl01TkYRWMCkFrSDsIzDvJLrzG16SxEMtpYKs6l7OzeamzoDTqJPHmYvl8yhVjIRg%2F%2BKAej20G3R09sJa%2F56fFxMfPs0PMn7Kb0mkVJNTimWkVrWMpMIrrUTxfDD3ZC%2BTiWjo846MV%7Ctkp%3ABFBMttygorNn&var=526201196476
,New Sealed Samsung Galaxy S21 Ultra 5G 128GB/ 256GB SM-G998U Factory Unlocked,$258.49 to $316.77,https://www.ebay.com/p/22043687761?iid=297281619485&var=594842919263
,Samsung Galaxy S23 Ultra 5G SM-S918U 256GB Factory Unlocked ❖ New in Sealed ❖,$409.99,https://www.ebay.com/p/23059054247?iid=397043656711&var=665494090336
,Apple iPhone 14 128GB Unlocked - Very Good,$266.99,https://www.ebay.com/p/20056257992?iid=256473384992&var=556636928417
,Apple iPhone 13 128GB Unlocked - Good,$214.99,https://www.ebay.com/p/11049276145?iid=256350256078&var=556413183916
,Apple iPhone 15 Pro Max A2849 256GB Unlocked Very Good,$669.84,https://www.ebay.com/p/3062772406?iid=356227859677&var=625224267957
,Samsung Galaxy S23 128GB S911U Unlocked - Good,$199.99,https://www.ebay.com/p/5065009608?iid=256372465052&var=556454234753
,Apple iPhone 13 A2482 128GB Network Unlocked Very Good Condition,$263.45,https://www.ebay.com/p/7049287499?iid=354393355064&var=623805665188
,Samsung Galaxy S23 Ultra 256GB S918U Unlocked - Good,$381.99,https://www.ebay.com/p/23059054247?iid=256460585805&var=556609999488
,Samsung Galaxy S22 Ultra 128GB S908U Unlocked - Good,$267.99,https://www.ebay.com/p/26065011079?iid=256412927142&var=556527734246
,Apple iPhone SE 2nd Gen 64GB A2275 (Unlocked) 90% to 99% Battery Health DG7814,$69.75,https://www.ebay.com/p/9064997363?iid=287272652099
,Apple iPhone 14 128GB Unlocked - Good,$248.99,https://www.ebay.com/p/20056257992?iid=256593723619&var=556848297635
,Samsung Galaxy S22 128GB S901U Unlocked - Good,$159.99,https://www.ebay.com/p/9072235777?iid=255865325274&var=555803153092
,Apple iPhone 11 Pro Max 64/256/512GB Unlocked - Refurbished Excellent,$244.99 to $294.99,https://www.ebay.com/itm/236252720404?itmmeta=01KPD285RHPMY1XNZDZABWWVSW&hash=item3701c26d14:g:ufUAAOSwff1kQwEh&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Luq%2BtPEQb9OERCZRHAcn2vTKz9bPba3bp42x3B3%2FyMvIJPPsHr8UHzJ2i5QXq1sUJHuTfWQX3R3haU%2BWTAmcHyE3hHBH9m4w%2FA9Xd4QcSiZ192c7RA0Snqcd9thUjuK8aGfuPs1KpKUb%2FlyeyYy2CBRh%2FjfEscny1rl9QbPIRdYCxqKD5yOAy3k8wdN6gw3H5U4yOMGtyfGRgg9uyzxeCbuVEuESpCZ9x0QZYxv8f8vlvOopW3BNKu5JSs9y6RToOxG%2BACVTR%2BDHC3R7FMEXQHFf%7Ctkp%3ABFBMuNygorNn&var=536813185538
,"Apple iPhone 13, 128/256/512GB - Unlocked - Used Very Good - All colors",$259.99 to $324.99,https://www.ebay.com/itm/235791015716?epid=16074098210&itmmeta=01KPD285RHYZW6EGQ0CEV1JF06&hash=item36e63d5f24:g:sMQAAOSwcSFkCfCZ&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuoMdJetMZCYN5Xvqp41uaQbDmbbNwxKpzk3iHgK72dVSD244ikS4uzMR14A1EZFIXfVyaq6ByMIP2y13twkU9K8kKa3SsDROmc%2F84VcKdezkXs16NlvVCyFZUlXIYZ2WL%2FMvBJtFpyhIeyyxXrYYN4ZMQUhsWgecwjdkyvS9IZw1Ar6oKI9JSHXitFfYFIeGP6X5BUrZrmzLODFdt72ia%2F5MPmJhDDiPSGY6iytIB4NIUFMPXs3SMsalvVvjvMd1f4unEwqEMXrK0hrmVeeXW%2B7%7Ctkp%3ABFBMuNygorNn&var=536172745222
,"Apple iPhone 13 Mini, 128/256/512GB - Unlocked - Refurbished Excellent",$254.99 to $419.99,https://www.ebay.com/itm/226908600683?epid=13049280906&itmmeta=01KPD285RHRM7R3WEPEA48480W&hash=item34d4ce796b:g:qAwAAOSwhGpkCevP&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LurAzRWTaF6skFCiWxXAsRyWc3mVsUOXQEaaTL5k5EMIIqiORKdUYUtf98ipFdaCmoXCFbvaUH3835WDtaKpvUpJZ7ysZTc7KdscxLHQ8Dl0nIFhUzwD95pAbSgD59DM8EMe4FIFtgwnfw1%2FOldU%2Fhzy%2BW0gIJT9I7BC%2FtnuQGcg%2FsPWu1sZzc5Pe9XchnqI7xIl6K%2B4G%2FZxqKimX9HhFhAtCqoOqGVNAgLYBKJtwzi6n4uK1uXc67c%2BGCWm9vbVjCyBdu7OMGT%2F%2BS7bBcJ7TXd7%7Ctkp%3ABFBMuNygorNn&var=526061237496
,NEW UNLOCKED SAMSUNG GALAXY S24 ULTRA 5G SM-S928U ALL COLORS AND MEMORY GSM+CDMA,$681.88,https://www.ebay.com/itm/198084363021?epid=23064930687&itmmeta=01KPD285RH5JVYNDNC560DPH8S&hash=item2e1ebf830d:g:1DMAAeSwRUJphjw-&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Lup9PID727Zspfz7js8zi%2BLcpGqJJ4BZ%2FLSU54owh5wnoBGpaxJC8AgN5lW2i000JU%2FII75fZTs7jnyeoeUfIVfMrxoz%2B8MuHOaEFz4BW0kQ1bVX2yVtJVDnGbDCi%2FJ0MDNQPiYEaKa5MKAydxnzKZ73Ylk0BSwwSnPB7Q%2B82Djh%2F6Z3Ws6JezhVtl8QJPZVMTqSnOgjaroVBxadNcFMunu4PmM%2FL%2BjQWI4IGwF3XaDSy%2B50pM2DkS58ctkrJXUjKMObjfunryLrr6ClOx4AZp6c%7Ctkp%3ABFBMuNygorNn&var=497275824011
,Apple iPhone 15 Pro A2848 256GB Unlocked - Very Good Condition,$512.35,https://www.ebay.com/p/20062769709?iid=356227813818&var=625224476068
,Apple iPhone 14 128GB Unlocked - Excellent,$290.95,https://www.ebay.com/p/11056248070?iid=364506177072&var=634009141585
,45W PD Fast Wall Charger+Type-C Cable For Samsung Galaxy S23 S22 S21 S20 Ultra,$1.85,https://www.ebay.com/itm/134980436560?itmmeta=01KPD285RHFBH4FF7H05PTWNSP&hash=item1f6d760250:g:D18AAOSwutRl9Wdx&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4LurAXdNurqI6utyUsRTlrtGtZgmVjTOimClH3GAl9VTYa%2FaW9FaIS82LXdaERgNuqr4huJ%2B5BKWTcFcAuYNer92s2EgmOFwY8aXOIpi3UJCSSdwmVTyJunSOf3xKr1f%2BB1YWru0KcwI0EMWFNYsOLqsuZ08hCqRAr6VNClLVPZTXZE27%2FGhd0HO3z2kcx33lP5xCI4OtJXIGfI8mvNmbw%2FCuvD8oCCz0bCALRZPR6leEHA%3D%3D%7Ctkp%3ABk9SR7rcoKKzZw
,Apple iPhone 14 128GB - All Colors - Factory Unlocked - Very Good Condition,$259.00,https://www.ebay.com/p/20056257992?iid=235414338644&var=535523704531
,UNLOCKED Smartphone - Android,$29.99,https://www.ebay.com/itm/167822874266?itmmeta=01KPD285RH9NPVFA8VH8QDT55E&hash=item271305d69a:g:b1kAAeSwIY9o2fUT&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4LuoQpuwTUOIXr8RGkh6MFWeKUlxU9hyU2gju%2F4qaHPRlgAI7Mi5EpWrX%2F2T8AcSeLmp5tqdGOEd%2BeAft0086KorlTMkrXctGCK7edqVOFFaoXPcalrNmA59eJstVw4ONB151r2kg%2Bw9L%2BJ%2B7Lu%2BLkWMBALgUGeoLm%2Fl1VYIX1bWzRj3TD%2FSXoSu3JHlss6m4SaWaHmWCaFwY6KpxbdUsQ9Vo%2FT0FRBcU%2BISqbyrD1A1XAA%3D%3D%7Ctkp%3ABk9SR7rcoKKzZw
,OPEN BOX Samsung Galaxy S25 128GB 256GB SM-S931U1 Mint Blue Silver Unlocked,$569.00 to $579.00,https://www.ebay.com/p/2345905739?iid=127096191977&var=428217861618
,"Apple iPhone 14, 128GB-256GB-512GB, Unlocked - Very Good Condition - All Colors",$289.99 to $389.99,https://www.ebay.com/itm/325632854802?epid=5056262904&itmmeta=01KPD285RHHNEF4FEGE5GEM4R6&hash=item4bd13b0b12:g:tzUAAOSw1p5kB1Fw&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Luo1wZ1TM6D287chJu1cnlzHCkyDX%2BayChhbiJwdm17pjK29tRXVRumhQ3RsENT82SCjcjTv68o%2FFZkvu%2FfcKDRVYS9KMS%2BDxh71aGEtubHaRzCJFWS6JIHFE79Wy0NOMta4BTexybEsuBcTliCh1i75K%2BwkwiQS7ZP4YAaRZ96BuU4gM0HE3SrrNaaAHqPbgCuzjMfzqpGUcx2JpKKcMBKeqbP--gAYgWyL%2BxbGKViZ6DkCn6eeuwhK3ZBa2LMYtjAR0YRJ%2F8JOm9eM5YQlZCQj%7Ctkp%3ABFBMutygorNn&var=514657476625
,"UMIDIGI A11 Pro Max 6.8"" Unlocked Smartphone Android International Version AT&T",$85.99 to $129.99,https://www.ebay.com/itm/174955432545?itmmeta=01KPD285RHN58H09NJT26RY9ZX&hash=item28bc280a61:g:f3UAAOSwztthUaXN&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LurO9T8a3iK%2BvlBQbAxgbi4Q%2FUKMVEKkW16YnTSMlVEAhKSZ7VsufzT0LQtE%2BGJzdFPu%2Bnl2f1IrWsayiiV40vaCT4oCVdbUxNONtZhHaDcaqrHLNP38etcWEW%2BrtCrau4vLFbAPk2f%2FDL%2BBxlWs65MfFJ1f%2FOOMNECkwXwBISMt%2Ff18oyHarK3ZV1zmLZMhlUnyFOu6pqB%2BSptlhDrZ%2BonK1E%2BO5nN2xdSNCessqxPaCIMhn1M%2FHLgfAcigtJcMB7pO%2F0IofCi3gQLA%2F5xanQeH%7Ctkp%3ABFBMutygorNn&var=474101591716
,NEW SEALED Samsung Galaxy S22 Ultra 5G S908U 128GB/256GB/512GB Factory Unlocked,$285.55 to $359.55,https://www.ebay.com/itm/389335521577?itmmeta=01KPD285RHKD9GZEDJG8BQQD21&hash=item5aa6349929:g:MFIAAOSwdt5oU95v&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Luq4uhvx3vGUGWiksu6buRO3chyOjewWdjdUN2SdEz6QgkOvJS28iXeeldVaREzVZnJ641kmoQIUyZuOM%2BFe71KtcHR7IsKD9CWzawMlRIxEAnfu6sqy2DvYGJY8lki7NECbG3SjDzf4%2F5DV3k0FkOyisETKAcldeobrb63hwM6RugXSKxiJ%2F0XWq51akG9cCA%2BgqGXAzd80fZIh%2BEilcNw67tbnawxj32aYX9m12NpYFD1XFTiIo2ry%2BmVgnxLYiKd4eOvCGWbOTD9s4WHAUfse%7Ctkp%3ABk9SR7rcoKKzZw&var=656648862661
,Samsung Galaxy S23 Ultra 256GB SM-S918U1 Factory Unlocked - Excellent,$394.48 to $414.48,https://www.ebay.com/p/26059055042?iid=116285984225&var=416797874102
,Samsung Galaxy S21 S991U 5G SM- G991U1 - 128GB - FACTORY UNLOCKED - EXCELLENT,$139.48 to $159.48,https://www.ebay.com/p/28043687656?iid=125641047454&var=427276038392
,Apple iPhone 14 Pro Max 256GB Unlocked Very Good Condition,$487.41,https://www.ebay.com/p/20072577145?iid=355896538160&var=624955594342
,New Samsung Galaxy S22 Ultra 5G SM-S908U 128/256/512GB Factory Unlocked ❖Sealed❖,$269.88 to $349.88,https://www.ebay.com/p/26065011079?iid=317531985362&var=616072439870
,Samsung Galaxy S23 Ultra 256GB S918U Unlocked - Very Good,$414.99,https://www.ebay.com/p/26059055049?iid=256379350872&var=556466975923
,Apple iPhone 14 128GB Factory Unlocked Very Good,$265.00,https://www.ebay.com/p/2327306558?iid=168298173379&var=467827388572
,Apple iPhone 15 Plus 128GB Unlocked Very Good Condition,$401.44,https://www.ebay.com/p/2333813741?iid=356312979103&var=625286138741
,Apple iPhone 13 128/256/512GB Unlocked Good All Colors,$263.48 to $275.93,https://www.ebay.com/p/12052764234?iid=127610111041&var=428751949532
,NEW SEALED Samsung Galaxy S20+ Plus 5G SM-G986U1 128GB GSM+CDMA Factory Unlocked,$181.50,https://www.ebay.com/p/9071461571?iid=136320210963&var=435196870154
,NEW SEALED Samsung Galaxy S23 Ultra 5G SM-S918U 256GB/512GB Factory Unlocked,$414.66,https://www.ebay.com/p/10059052247?iid=377104228851&var=645563711155
,New Samsung Galaxy S23 Ultra 5G SM-S918U 256GB/ 512GB Factory Unlocked,$425.48 to $582.69,https://www.ebay.com/p/26059055042?iid=205641080772&var=506376635973
,Samsung Galaxy S22+ 5G SM-S906U1 128GB 256GB Factory Unlocked Excellent,$194.99 to $234.95,https://www.ebay.com/itm/355596780465?itmmeta=01KPD285RJS9ESXT45JZ0MRK2F&hash=item52cb3843b1:g:9eoAAOSwBFJjPcD9&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LupjToqS7NQ4BBQT0cv7k90JUyHJRu6HxgFQV5LP63OJCytMLJYkek13FwE1YtthiBL%2Fbf50hw5sQRjp8eiBY8colhhZC3VgORPn%2BdT2RAjSOUaxFyccXStQml%2F9LJWrtPEW6is2eoelqR5vSq4xSe6p3%2Bff0tOgwCmnroztnXQt1N1lIlU9LzrUrl4guzjZFd7qmFNQmx2IRn48PYaMcM%2Bh5XmSAmQ3s3ptYtvW9UPR6o4eP--IJCROsyPh5RsrnN5vriv2w0WOMHrcMLpkb5xf%7Ctkp%3ABk9SR7zcoKKzZw&var=624720963404
,Samsung Galaxy S22 5G SM-S901U1 128GB 256GB Unlocked Good,$142.99 to $169.95,https://www.ebay.com/p/8072305355?iid=186378192943&var=694428286611
,Apple iPhone 15 Pro Max 256/512GB/1TB Unlocked Very Good All Colors,$574.86,https://www.ebay.com/p/8062766783?iid=127560658037&var=428683940225
,NEW SEALED SAMSUNG GALAXY S22 ULTRA 5G 128GB US Factory Unlocked,$265.99,https://www.ebay.com/p/26065011079?iid=366302424619
,NEW UNLOCKED SAMSUNG GALAXY S23 5G SM-S911U ALL COLORS AND MEMORY GSM+CDMA,$304.88 to $364.88,https://www.ebay.com/p/8072579415?iid=196460739863&var=496254342196
,New in Sealed Box Apple iPhone 13 MINI A2481 128/256GB Factory Unlocked USA SHIP,$317.01 to $379.88,https://www.ebay.com/p/27049276496?iid=286360647785&var=588478290091
,"Apple iPhone 13 Mini, 128/256/512GB - Unlocked - Used Very Good - All colors",$224.99 to $379.99,https://www.ebay.com/itm/234988341540?epid=27049276471&itmmeta=01KPD285RJCRT85HRDANC1Y8ZE&hash=item36b6658924:g:qAwAAOSwhGpkCevP&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Luo21IIJqEaNwlyKJzNK6ojIdB3v8cCfRN15wR7JXz%2BspMWRWzFOFNWgjJaaoZOmd8ilJNCDWz%2FBo7OpHJxedR6Xx5ANY%2FLuAuDVXFczDNbFy3koiVIzqvV3JELcJnsKLfwVefQbgksqafVF4qp1G4IVj240dpvB2Ggy0hpyXd34D1y0NJdao3intr0%2Ff9M7AUygsYMT%2BSiu1wBhnsfyYIfyTlb4R0Wooqk6%2BN0zunu0guGRWBYgkGC03RRyt4Tq7rU1ugU26u%2B5iKHBAgwuGXbi%7Ctkp%3ABFBMvtygorNn&var=534873236364
,UMIDIGI A15 A15C 8GB+256GB/128G Android 13 Smartphone Unlocked T-Mobile AT&T,$110.99 to $120.99,https://www.ebay.com/itm/175855946099?itmmeta=01KPD285RJ836TWZ9WM07K3S59&hash=item28f1d4c973:g:VE0AAOSw8dlk1gAk&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuqM7WZ2GZbSKcQHwOw%2BVWKIaUna4AHE6LqEpgagPo8L9pjZybp6PneWxtgInzN18hROFvSZlkFfxXSd1qMauXvXDwKifi8T%2FCEyvtK%2FJbsMMoUsTTPpicnOmEuC8ppqowNFh%2BKTVC07y6RaHBOHmcamVK4moiUmtu45CMLmI53Pri%2BNCJ3SYUDA8Dlfq5bt%2Fr9BaiivOdKV4hzybAdK23grjNCcjIoD%2BSWFdlXxiwZG2oBN4sghEsJCqUF7iJwp77lrG0Qv2r0Wej62pv3T6du1%7Ctkp%3ABFBMvtygorNn&var=475266750789
